,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
6679,23562,,HOTEL ST. REGIS,BREAKFAST,COMMERCIAL,?,BROADSHEET;5X8;,DAILY;,ALL ITEMS PRICED;MENU IN ENGLISH ON ONE SIDE & FRENCH ON REVERSE;,1906-151,,,1906-02-12,Hotel St. Regis,,Dollars,$,complete,2,201
5579,22190,,COLLEAGUES AND FRIENDS OF PROFESSOR JOSEPH LOVERING,DINNER ON PROFESSOR LOVERING COMPLETING 50 YEARS OF SERVICE,EDUC,"HOTEL VENDOME,[MASS]",FOLDER; ILL; 4.75X6.5,COMPLIMENTARY/TESTIMONIAL,"HOTEL VENDOME ILLUSTRATED ON FRONT CARD,CARDS TIED WITH CORD ON LEFT SIDE",1889-008,,,1889-01-15,Colleagues And Friends Of Professor Joseph Lovering,,,,complete,4,38
10243,27727,,Lutèce,,,,23x15cm folded; 23x30.5cm open,,,1969-0007_wotm,,,1969-03-01,Lutèce,,,,complete,3,6
4701,21086,,PINE FOREST INN,BREAKFAST,COMMERCIAL,"SUMMERVILLE, S.C.",CARD; 4.5X6.5;,,INN MOTTO AT TOP;,1901-138,,,1901-01-21,Pine Forest Inn,,,,complete,2,44
3042,18061,,,,,,,,,,,,1900-08-27,Kempinski Restaurant,,Deutsche Marks,DM,complete,2,150
11010,28518,,Hotel Northampton,,,,30.5x23cm folded; 30.5x46cm open,,,1957-0056_wotm,,,1957-01-01,Hotel Northampton,,Dollars,$,complete,4,217
10604,28106,,Club Venus,,,,27x20.5cm folded; 27x41cm open,,,1967-0010_wotm,,,1967-03-18,Club Venus,,Dollars,$,complete,4,113
12371,29913,,The Wilro Restaurant,,,,28.5x21.5cm folded; 28.5x43cm open,,,1949-0003_wotm,,,1949-01-08,The Wilro Restaurant,,Dollars,$,complete,5,88
5188,21707,,HIS OREGON FRIENDS,DINNER TENDERED TO HON. JOHN BARRETT,OTHER (GROUP OF FRIENDS);,"PORTLAND COMMERCIAL CLUB, PORTLAND, OR",FOLDER; 4X5;,COMPLIMENTARY/TESTIMONIAL,LISTS MANHATTANS AND WINES SERVED WITH INDIVIDUAL COURSES; WEBBER ORCHESTRA;,1906-955,,,1906-12-17,His Oregon Friends,,,,complete,4,26
15277,32891,Adams' Dining Room,Adams' Dining Room,,,,28x17cm folded; 28x34cm open,,,1917-0193_wotm,,,1917-10-29,Adams' Dining Room,,Dollars,$,complete,4,268
8844,26251,,CAMP FIRECLUB,DINNER,SOC;,"HOTEL VENDOME,NY",BROADSIDE; ILLUS; COL;5 X 7.75;,?,,1897-312,,,1897-11-20,Camp Fireclub,,,,complete,2,33
16038,33686,Hotel Astor,Hotel Astor,,,,20x13.5cm folded; 20x27cm open,,New York State Bar Association,1914-0142_wotm,,,1914-01-31,Hotel Astor,,,,complete,21,16
1860,15448,,,,,,,,,,,,1900-09-15,Hotel De Paris,,,,complete,4,7
