,id,HotelName,sponsor,event,venue,City&Country,measurements,occasion,notes,call_number,keywords,language,date,place,place_type,currency,currency_symbol,status,page_count,dish_count
7602,24715,,BOSTON BOOT AND SHOE CLUB,DINNER,SOC;,"YOUNG""S HOTEL, BOSTON, MA",BOOKLET; COL; ILLUS; 5.5 X 7;,,RED AND GREEN HOLLY WREATH;,1899-851,,,1899-12-20,Boston Boot And Shoe Club,,,,complete,8,21
63,12531,,RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""SOUTHWARK""",CARD; ILLUS; COL; 5X8;,OTHER (DAILY);,FRENCH & ENGLISH; VIOLET SCRIPT PRINTING; MARITIME SCENE AT TOP OF MENU;,1900-2150,,,1900-02-26,Red Star Line,,,,complete,2,18
545,13136,,MURRAY HILL HOTEL,BREAKFAST,COMMERCIAL,"(NEW YORK,NY)",CARD;ILL;COL;4.25X6.5;,EASTER;,PRESENTED BY CATHARINE B.ALSOP LEFFINGWELL WRITTEN ON BACK;,1900-2791,,,1900-04-15,Murray Hill Hotel,,Dollars,$,complete,2,55
4231,20586,,PACIFIC MAIL STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS CITY OF RIO DE JANEIRO,FOLDER;ILLUS;COL;5.5X8.75;,DAILY MENU;,DECORATIVE BORDER;SHIP AT SEA;2 COPIES;,1900-3537,,,1900-06-04,Pacific Mail Steamship Company,,,,complete,4,24
13558,31145,,The Commodore Hotel,,,,33x21.5cm,,lunch counter luncheon,1933-0220_wotm,,,1933-05-18,The Commodore Hotel,,Dollars,$,complete,1,148
991,13848,,PLANTERS HOTEL,BREAKFAST,COMMERCIAL,"ST LOUIS,MO",CARD;ILLUS;COL;6.75X8.75;,DAILY;,"GRAND HOTEL,MACKINAC ISLAND,MICHIGAN PICTURED;COAT OF ARMS;DATE WRITTEN BY HAND,PROBABLY BY FB;",1900-3846,,,1900-07-08,Planters Hotel,,Dollars,$,complete,2,153
10008,27491,,"Hotel Des Indes, Batavia, Menu.",Menu,,,,,,1910-960,,,1910-03-19,"Hotel Des Indes, Batavia, Menu.",,,,complete,1,13
1011,13887,,SANTA FE' ROUTE,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; COL; 5 X 8;,DINING CAR SERV;,,1900-3508,,,1900-06-01,Santa Fe' Route,,Dollars,$,complete,2,40
15839,33472,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0211,,,1915-01-01,Waldorf Astoria,,Dollars,$,complete,4,234
3524,19863,,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,CARD; ILLUS; 5.5 X 8;,,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF STEAMSHIP; SUITABLE FOR MAILING;,1900-2781,,,1900-04-14,Norddeutscher Lloyd Bremen,,,,complete,2,84
16994,34815,St. Denis Hotel: Taylor's Restaurant,St. Denis Hotel: Taylor's Restaurant,,,,,,John Ericsson Memorial Association & United Swedish Societies of N.Y.,1912-0933_wotm,,,1912-01-24,St. Denis Hotel: Taylor's Restaurant,,Dollars,$,complete,4,643
14195,31790,,[Restaurant Name And/Or Location Not Given],,,,18.5x14cm ,,Souvenir Menu - George Washington's Birthday 1925,1925-0009_wotm,,,,[Restaurant Name And/Or Location Not Given],,,,complete,1,12
11824,29344,,The Winery,,,,28x22cm,,,1988-0004_wotm,,,1988-01-01,The Winery,,Dollars,$,complete,1,40
2362,16313,,,,,,,,,,,,1901-07-01,Horel Del Coronado,,,,complete,2,58
5034,21484,,KING HAAKON VII,CORONATION DINNER,GOVT;,TRONDHJEM (NOWAY?),FOLDER; 3.75 X 7;,RITE;,MENU IN FRENCH; MUSIC;,1906-538,,,1906-06-22,King Haakon Vii,,,,complete,4,11
7397,24452,,THE SUNSET CLUB,DINNER,SOC;,"THE GRAND PACIFIC HOTEL-CHICAGO,ILL.",BOOKLET;ILLUS;4X6;,?,,1893-128,,,1893-12-07,The Sunset Club,,,,complete,4,15
13848,31438,,Hotel Victoria,,,,18x23cm,,The Pilgrims,1932-0007_wotm,,,1932-03-01,Hotel Victoria,,,,complete,2,9
6986,23934,,HOTEL COLONIAL,DINNER,COMMERCIAL,"NASSAU, THE BAHAMAS",CARD; COL; 5 X 9;,,LOGO; BLUE STOCK;,1901-196,,,1901-01-27,Hotel Colonial,,,,complete,2,57
4844,21229,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,KONIGIN LUISE,CARD;ILL;COL;5.25X8;,DAILY;,MENU IN GERMAN AND ENGLISH;POSTCARD ATTACHED WITH PERFORATIONS MEANT TO BE DETACHED;ONE OF THREE FOR SAME DATE WITH DIFFERENT ITEMS ON EACH,1899-252,,,1899-03-14,Norddeutscher Lloyd Bremen,,,,complete,2,24
14098,31691,,Hotel Commodore,,,,29x21cm folded; 29x42cm open,,Banquet to the Hon. Francis M. Hugo,1920-0033_wotm,,,1920-03-18,Hotel Commodore,,,,complete,5,8
13249,30799,,The Grolier Club,,,,15.5x11cm,,,1935-0003_wotm,,,1935-01-24,The Grolier Club,,,,complete,1,7
12113,29635,,Kyoto Hotel,,,,19.5x14cm,,Japanese is secondary language,1955-0157_wotm,,,1955-12-21,Kyoto Hotel,,Yen,¥,complete,1,11
15463,33079,Fleischmann's Vienna Restaurant,Fleischmann's Vienna Restaurant,,,,31x19.5cm folded; 31x39cm open,,,1917-0572_wotm,,,1917-11-20,Fleischmann's Vienna Restaurant,,Dollars,$,complete,3,249
13657,31244,,Hotel Astor,,,,34.5x23cm,,,1933-0024_wotm,,,1933-02-04,Hotel Astor,,Dollars,$,complete,2,170
17141,34978,Hotel Schenley,Hotel Schenley,,,,,,Pittsburgh Lodge No. 11 - B.P.O. Elks,1913-0205_wotm,,,1913-02-20,Hotel Schenley,,,,complete,9,18
7392,24440,,HOTEL ROYAL PALM,DINNER,COMMERCIAL,"MIAMI BISCAYNE BAY, FL",CARD;  4.5 X 8;,DINNER;,LOGO; NOTE ABOUT SWIMMING POOL;,1901-700,,,1901-03-19,Hotel Royal Palm,,,,complete,2,42
14021,31613,,Elk's Club,,,,14x9cm folded; 14x18cm open,,University of Minnesota Bands,1927-0015_wotm,,,1927-05-19,Elk's Club,,,,complete,4,10
16192,33843,Maryland Club,Maryland Club,,,,22x14.5cm folded; 22x29cm open,,Dinner to W. Taft/W. Welch,1914-0300_wotm,,,1914-02-28,Maryland Club,,,,complete,9,23
10648,28151,,"R.M.S. \Queen Elizabeth\""""",,,,27x21cm  ,,Menu is missing right hand page.,1967-0067_wotm,,,,"R.M.S. \Queen Elizabeth\""""",,,,complete,2,30
12349,29890,,The Oasis,,,,21x14cm,,,1947-0042_wotm,,,1947-11-27,The Oasis,,Dollars,$,complete,1,22
124,12606,,,,,,,,,,,,1900-04-19,Hotel Savoy,,,,complete,2,15
16585,34247,Hotel Albemarle Hoffman,Hotel Albemarle Hoffman,,,,21.5x14cm ,,,1914-0949_wotm,,,1914-10-02,Hotel Albemarle Hoffman,,Dollars,$,complete,2,40
7932,25140,,BROADWAY CENTRAL HOTEL,LUNCHEON,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; COL; 5.5X8.25;,OTHER (DAILY MENU);,"SERVED 1 TO 2:30 P.M. SPECIAL NOTE: ""TWO DINNERS WILL BE SERVED ON THANKSGIVING DAY FROM 1 TO 3 AND 5.30 TO 8 -- 75c. SPECIAL ATTENTION WILL BE SHOWN TO FAMILIES & PARTIES;""",1899-757,,,1899-11-26,Broadway Central Hotel,,,,complete,2,58
1599,14857,,,,,,,,,,,,1900-02-13,Hotel Empire,,Dollars,$,complete,2,171
11335,28846,,Holland America Cruises,,,,32x20.5cm,,,1987-0079_wotm,,,1987-01-01,Holland America Cruises,,,,complete,1,53
11621,29136,,"T.S.S. \Ocean Monarch\""""",,,,22x17.5cm folded; 22x34cm open,,,1961-0064_wotm,,,1961-07-08,"T.S.S. \Ocean Monarch\""""",,,,complete,3,58
9526,26991,,Ramponneau,Daily menu,"FOREIGN,RESTAURANT","restaurant, Ramponneau, 21 Avenue Marceau, France","Broadside, paper, 10.75 x 15.75 inches",,Dieter Zander Collection; menu items are handwritten,Zander 648,,,,Ramponneau,,Francs,FF,complete,1,82
1961,15567,,,,,,,,,,,,1901-06-10,Cotton Belt Railroad Route,,Dollars,$,complete,8,61
4336,20691,,PACIFIC MAIL STEAMSHIP COMPANY,LUNCH,COM,SS CITY OF PARA,BROADSIDE; 5.75X8.75,DAILY,2 COPIES;,1900-3101,,,1900-05-04,Pacific Mail Steamship Company,,,,complete,2,14
4516,20872,,LONG BEACH HOTEL,DINNER,COMMERCIAL,"LONG BEACH, NY",CARD; 4.5 X 7;,,BROWN; LOGO;,1900-3963,,,1900-07-29,Long Beach Hotel,,,,complete,2,53
4304,20659,,DEL CORONADO HOTEL,BREAKFAST,COMMERCIAL,"CORONADO BEACH, CA",CARD; ILLUS; COL; 4.5X7.5;,,MEAL HOURS LIST; HOTEL SEAL AT TOP;,1901-2215,,,1901-08-27,Del Coronado Hotel,,,,complete,2,72
3045,18064,,,,,,,,,,,,1900-08-28,Nippon Yusen Kaisha,,,,complete,2,14
10857,28364,,Sherrys,,,,28x21.5cm ,,,1958-0012_wotm,,,1958-02-01,Sherrys,,Dollars,$,complete,1,48
461,13035,,ARLINGTON HOTEL,DINNER,COMMERCIAL,"TORONTO,ONT,CANADA",CARD;ILL;COL;5X7;,DAILY;,SHAMROCKS;COAT OF ARMS;PRICED WINES;,1900-2498,,,1900-03-17,Arlington Hotel,,,,complete,2,43
197,12708,,CROMWELL STEAMSHIP COMPANY,BREAKFAST;,COMMERCIAL,,CARD;ILL;COL;4.5X7.5;,DAILY;,"FLAG;HANDWRITTEN,MECHANICALLY REPRODUCED;",1900-2649,,,1900-04-02,Cromwell Steamship Company,,,,complete,2,18
10867,28374,,The Mississippi Room,,,,32x21cm,,,1958-0022_wotm,,,1958-03-18,The Mississippi Room,,Dollars,$,complete,2,193
14578,32183,The Pennsylvania Lunch,The Pennsylvania Lunch,,,,24x15.5cm,,,1916-0098_wotm,,,1916-01-01,The Pennsylvania Lunch,,Dollars,$,complete,1,39
11881,29402,,Jasper Park Lodge,,,,26.5x16.5cm,,,1954-0068_wotm,,,1954-09-11,Jasper Park Lodge,,Dollars,$,complete,1,25
3686,20027,,U.S.M.S.,LUNCHEON,NAV;,"ON BOARD ""NEW YORK""",CARD; ILLUS; 3.75X6;,,MARITIME FLAG AT TOP; PRICED WINE LIST ON BACK OF MENU;,1900-5054,,,1900-12-17,U.S.M.S.,,Dollars,$,complete,2,100
561,13175,,CRISTOFORO COLOMBO RESTAURANT,BILL OF FARE,COMMERCIAL,"NEW YORK, NY",BROADSIDE; 7X12;,,ITALIAN; ALL ITEMS 5C AND 10C; [DATE INFO SUPPLIED BY FEB]; SPECIAL ITEMS HANDWRITTEN;,1900-2574,,,1900-03-25,Cristoforo Colombo Restaurant,,,,complete,2,50
12120,29642,,"S.S. \Ryndam\""""",,,,29.5x20.5cm ,,,1955-0164_wotm,,,1955-12-28,"S.S. \Ryndam\""""",,,,complete,1,21
7882,25080,,POLAND SPRING HOUSE,DAILY MENU,RESORT,"SOUTH POLAND,ME.",FOLDER;ILLUS ON FRONT & BACK;4.5 X 7;,DINNER,MEAL HOURS NOTED,1883-15,,,1883-09-02,Poland Spring House,,,,complete,4,71
6350,23146,,MONICO,DINNER IN RENAISSANCE SALOON,COMMERCIAL,"LONDON, ENGLAND",FOLDER; ILLUS OF TABLE PLAN; 5 X 5;,DAILY DINNER;,MENU IN FRENCH; MUSICAL PROGRAM & HOURS LISTED;,1897-237,,,1897-07-22,Monico,,,,complete,3,12
16973,34792,Fairmont Hotel,Fairmont Hotel,,,,,,Dansk Frimurer Klub af California,1912-0910_wotm,,,1912-12-29,Fairmont Hotel,,,,complete,1,20
7447,24506,,TRANS-MISSISSIPPI AND INTERNATIONAL EXPOSITION,LUNCHEON FOR CIVIL GOVERNMNT DAY,COMMERCIAL,OMAHA NEBRASKA,BROADSIDE; COL; ILLUS; 4.25 X 6.75;,PATRIOTIC HOLIDAY;,GOLD EAGLE AND FLAG; BLUEPRINT; WINE;,1898-291,,,1898-10-14,Trans Mississippi And International Exposition,,,,complete,2,16
3061,18187,,,,,,,,,,,,1900-05-24,Pure Food Cafes   Annex No. 1,,,,complete,2,27
9961,27444,,USMS PHILADELPHIA,LUNCHEON,STEAMSHIP,ON BOARD,CARD; COL; 4 X 6,OTHER (DAILY MENU),"IN ENGLISH ONLY; EXTENSIVE MENU; COMPLETE WINE LIST, ETC WITH PRICES",1910-906,,,1910-03-17,Usms Philadelphia,,Dollars,$,complete,2,114
6752,23645,,TAMPA BAY HOTEL,DINNER,COM,"TAMPA,FLA.",FOLDER; ILLUS; 4.5 X 7.25;,,,1901-620,,,1901-03-09,Tampa Bay Hotel,,,,complete,4,52
17252,35118,Hotel Washington,Hotel Washington,,,,,,Canned Goods Exchange,1913-0346_wotm,,,1913-04-09,Hotel Washington,,,,complete,2,24
12975,30523,,The Waldorf Astoria,,,,23x15.5cm folded; 23x30.5cm open,,,1941-0070_wotm,,,1941-11-18,The Waldorf Astoria,,,,complete,12,50
2094,15715,,,,,,,,,,,,1900-01-01,Canadian Pacific Railway Company,,,,complete,2,17
12506,30048,,Canadian Pacific B.C. Coast Steamships,,,,25x17.5cm folded; 25x34.5cm open,,,1948-0055_wotm,,,1948-08-28,Canadian Pacific B.C. Coast Steamships,,,,complete,4,33
13382,30937,,Cotton Club,,,,33.5x26cm folded; 33.5x52cm open,,Cab Calloway headlining show,1938-0192_wotm,,,1938-01-01,Cotton Club,,Dollars,$,complete,5,301
743,13443,,HOTEL RITZ,DINER,FOREIGN;,"PARIS, [FRANCE]",CARD; ILLUS; 5.75X8.5;,,"ILLUS, SHIELD SURMOUNTED WITH CORONET; RIBBON WITH ""HOTEL RITZ PARIS""  MENU IN FRENCH; WINES LISTED;",1900-3729,,,1900-06-26,Hotel Ritz,,,,complete,2,21
7992,25217,,COVER CLUB OF BOSTON,25TH ANNIVERSARY,SOC;,HOTEL SOMERSET,BOOKLET; ILLUS; COL; 8.5X12.25;,ANNIVERSARY;,"WINES LISTED; QUOTES THROUGHOUT; PAINTING OF TWO WOMEN ON COVER; POEM BY JOHN P. LEAHY; PHOTO OF [JOHN F. DEVER?]; CONCERT, PROGRAM AND OFFICERS LISTED;",1908-136,,,1908-02-10,Cover Club Of Boston,,,,complete,12,21
8075,25317,,FIFTH AVENUE HOTEL (?),DINNER,SOM;,NEW YORK,BROADSIDE; 5.5 X 8.5;,,ONE OF MANY MENUS WHILE NOT SPECIFICALLY IDENTIFIED SEEM TO BE FROM THE FIFTH AVENUE HOTEL;,1905-838,,,1905-11-12,Fifth Avenue Hotel (?),,,,complete,2,86
10052,27535,,Norddeutscher Lloyd Bremen,Breakfast,,,,,,1910-808,,,1910-03-13,Norddeutscher Lloyd Bremen,,,,complete,2,48
9086,26534,,Hotel Schloss Fuschl,,HOTEL,Hotel Schloss Fuschl,Booklet; 5.75 x 4 inches,,"Dieter Zander Collection; cover is a lithograph by V. Leopold Rottmann, drawn by V. Petzolt Um.",Zander 208,,,1980-08-08,Hotel Schloss Fuschl,,,,complete,5,7
17096,34922,Broadway Auditorium,Broadway Auditorium,,,,,,Buffalo Orpheus Carnival Masquerade,1913-0149_wotm,,,1913-02-03,Broadway Auditorium,,Dollars,$,complete,5,116
3318,19517,,,,,,,,,,,,1901-07-02,Statler's Hotel And Restaurant,,,,complete,2,20
214,12728,,NEW FALMOUTH HOTEL,BREAKFAST,COMMERCIAL,"PORTLAND, ME",BROADSIDE; 5.0X8.0;,,"DATE HAND WRITTEN (FEB?); SIGNED BY F. H. NUNNS, PROP.;",1900-3296,,,1900-05-16,New Falmouth Hotel,,,,complete,2,54
16708,34376,Steamer Berksire,Steamer Berksire,,,,18x11.5cm,,Atlantic Deeper Waterways Ass'n,1914-1078_wotm,,,1914-09-01,Steamer Berksire,,Dollars,$,complete,1,19
10083,27566,,Norddeutscher Lloyd Bremen,Norddeutscher Lloyd Bremen & Dinner,,,,,,1910-725 ItemA&B,,,1910-03-09,Norddeutscher Lloyd Bremen,,,,complete,8,30
9085,26533,,Hotel Goldener Hirsch,Dinner,HOTEL,Hotel Goldener Hirsch,Card; 4.25 x 6.5 inches,,Dieter Zander Collection.,Zander 207,,,1980-08-11,Hotel Goldener Hirsch,,,,complete,1,11
10439,27925,,Jake's,,,,36.5x23cm,,,1973-0034_wotm,,,1973-06-25,Jake's,,Dollars,$,complete,1,21
2973,17722,,,,,,,,,,,,1900-03-10,Cunard Line,,,,complete,2,100
1013,13890,,RUSSELL HOUSE,DINNER,COMMERCIAL,"DETROIT,MICH.",BROADSIDE; ILLUS; COL; 5.5 X 8;,,,1900-3511,,,1900-06-01,Russell House,,,,complete,2,48
12935,30483,,Star Oyster House,,,,33x22cm folded; 33x44cm open,,,1941-0030_wotm,,,1941-04-01,Star Oyster House,,Dollars,$,complete,6,510
15566,33185,Healy's Forty-second Street Restaurant,Healy's Forty-second Street Restaurant,,,,33x18cm,,,1917-0935_wotm,,,1917-12-15,Healy's Forty-second Street Restaurant,,Dollars,$,complete,4,311
2912,17463,,,,,,,,,,,,1900-02-13,San Remo Hotel,,,,complete,2,21
513,13099,,PACIFIC MAIL STEAMSHIP COMPANY,TIFFIN,COMMERCIAL,EN ROUTE ABOARD CITY OF RIO DE JANEIRO,BROADSIDE; 5.5 X 8.5;,,HANDWITTEN; ORNAMENTAL BORDER;,1900-3177,,,1900-05-08,Pacific Mail Steamship Company,,,,complete,2,19
12600,30143,,New York Central System,,,,23.5x15.5cm folded; 23.5x30.5cm open,,Railroad dining car menu,1943-0011_wotm,,,1943-01-01,New York Central System,,Dollars,$,complete,3,21
12612,30155,,Palm Garden,,,,38x15.5cm folded; 38x45.5cm open,,,1939-0107_wotm,,,1939-05-25,Palm Garden,,Dollars,$,complete,6,380
14056,31648,,Minnesota Union,,,,15.5x10cm folded; 15.5x20cm open,,University of Minnesota,1926-0007_wotm,,,1926-02-18,Minnesota Union,,,,complete,4,11
6155,22902,,?,[DINNER],,DELMONICO'S NY,CARD; ILLUS; COL; 4.5 X 7;,,MENU IN FRENCH;,1898-302,,,1898-11-04,Delmonicos,,,,complete,2,22
6786,23688,,HOFFMAN HOUSE,DINNER,COMMERCIAL,?,BROADSIDE;ILLUS;4.5 X 6.75;,,MENU IN FRENCH; SMALL FLOWERED DECORATION;,1896-106,,,1896-05-06,Military Order Of The Loyal Legion Of The United States,,,,complete,2,18
2203,15841,,,,,,,,,,,,1900-06-01,Santa Fe' Route,,Dollars,$,complete,2,41
15588,33207,Hotel Manhattan,Hotel Manhattan,,,,28x18cm folded; 28x36cm open,,,1917-0957_wotm,,,1917-12-17,Hotel Manhattan,,Dollars,$,complete,4,159
5606,22222,,CITY COUNCIL,DINNER AT FANEUIL HALL,POLITICAL,"BOSTON,MA.",FOLDER,PATRIOTIC HOLIDAYIOTIC HOLIDAY,,1865-004,,,1865-07-04,City Council,,,,complete,4,44
4241,20596,,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,LUNCH,COMMERCIAL,SS GAELIC,BROADSIDE;ILL;COL;5.5X8.5;,DAILY;,HANDWRITTEN ITEMS OF PRINTED FORM;FLAG;,1900-3564,,,1900-06-07,Occidental & Oriental Steamship Co.,,,,complete,2,22
2396,16488,,,,,,,,,,,,1901-05-16,Oceanic Steamship Company,,,,complete,2,24
17410,35329,Hotel Rennert,Hotel Rennert,,,,,,Alumni Association of Rock Hill College,1913-0557_wotm,,,1913-07-06,Hotel Rennert,,,,complete,4,25
7151,24141,,WALDORF-ASTORIA,BREAKFAST,COMMERCIAL,NEW YORK,CARD; 6 X 9.25,,PRICED MENU;,1907-885,,,1907-10-16,Waldorf Astoria,,Dollars,$,complete,2,159
3813,20158,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,SS KAISER WILHELM DER GROSSE,CARD;ILL;COL;5.5X8.25;,DAILY;,DECK OF SHIPWITH PASSANGERS;SEPARATE ENGLISH AND GERMAN LISTINGS;MAY BE USED AS A POSTCARD;,1900-3437,,,1900-05-26,Norddeutscher Lloyd Bremen,,,,complete,2,61
11926,29448,,Grand Ballroom Of The Hotel Plaza,,,,24.5x16.5cm folded; 24.5x33cm open,,,1953-0045_wotm,,,1953-10-16,Grand Ballroom Of The Hotel Plaza,,,,complete,12,54
6252,23031,,ST. GEORGE'S SOCIETY,94TH ANNIV.,SOCIAL CLUB?,NEW YORK CITY; DELMONICO'S,FOLDER;5X8; ILLUS.,ANNIVERSARYESARY,"QUOTES FROM SHAKESPEARE, GOD SAVE THE QUEEN",1880-016,,,1880-04-23,St. George's Society,,,,complete,4,22
11246,28757,,The Plaza Hotel,,,,14x11cm folded; 14x21.5cm open,,,1987-0017_wotm,,,1987-02-01,The Plaza Hotel,,Dollars,$,complete,3,8
10337,27822,,The Cobble Stones,,,,34x24cm folded; 34x48cm open,,,1970-0015_wotm,,,1970-03-28,The Cobble Stones,,Dollars,$,complete,5,94
9577,27047,,New York Central System,daily menu,RAILROAD,,9 x 6 in. fold. ; ill.,,"Illustration : ""North Michigan Boulevard, Chicago."" Promotes National Cherry Week. Manager Dining Services : B. J. Bohlender.",Soete 172,,,,New York Central System,,Dollars,$,complete,3,118
15758,33389,Restaurant name and/or location not given],Restaurant name and/or location not given],,,,,,,1915-0128,,,1915-01-01,Restaurant name and/or location not given],,Dollars,$,complete,2,61
9138,26588,,The Garden,Dinner,RESTAURANT,The Garden,Booklet; 8.5 x 11.5 inches; cover is laminated; gold cord,,Dieter Zander Collection.,Zander 547 undated,,,,The Garden,,Dollars,$,complete,7,262
10141,27624,,"U.S.M.S. St. Louis, Third Class Bill Of Fare: Dinner, Tea.",Third Class Bill Of Fare: Dinner,,,,,,1910-965,,,1910-03-19,"U.S.M.S. St. Louis, Third Class Bill Of Fare: Dinner, Tea.",,,,complete,2,15
6644,23518,,HOLLAND HOUSE,SUPPER,COMMERCIAL,,CARD; 5.825X8.75;,,PRICED MENU IN ENGLISH AND FRENCH;,1900-141,,,1900-01-10,Holland House,,Dollars,$,complete,2,391
5059,21545,,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,EN ROUTE ABOARD SCHNELLDAMPFER (EXPRESS STEAMER) AUGUSTE-VICTORIA,CARD; 5 X 8; ILLUS;,,"MENU IN GERMAN AND ENGLISH; ILLUSTRAION OF SHIP, WOMAN IN CLASSIC ROMAN(?) DRESS HOLDING SHIELD WITH INITIALS H. A. P. A. G.;",1900-1118,,,1900-02-17,Hamburg Amerika Linie,,,,complete,2,24
804,13553,,BAILEY CATERING CO.,LUNCH AND/OR DINNER,COMMERCIAL,PAN-AMERICAN EXPOSITION,BROADSHEET; 5.25 X 8.5;,DAILY,COMPLETE WINE LIST WITH PRICES ON BACK;,1901-1362,,,1901-05-20,Bailey Catering Co.,,Dollars,$,complete,2,132
1106,14002,,COLONNADE RESTAURANT,CHRISTMAS LUNCH,COMMERCIAL,"726 BROADWAY, NY",BROADSHEET; ILLUS; COL; 3.75 X 5.76;,RELIGIOUS HOLIDAY,NEW YEAR'S GREETING FROM OWNERS ON BACK;,1900-5088,,,1900-12-24,Colonnade Restaurant,,,,complete,2,23
16687,34355,The Copley-Plaza,The Copley-Plaza,,,, 19.5x12.5cm folded; 19.5x25cm open,,The Bar Association of the City of Boston,1914-1057_wotm,,,1914-12-28,The Copley-Plaza,,,,complete,4,21
8340,25642,,CORNELL UNIVERSITY ALUMNI,NINETEENTH ANNUAL DINNER,EDUC;,WALDORF-ASTORIA HOTEL,FOLDER; ILLUS; COL; 4.5 X 6.5;,ANNIVERSARY;,FRENCH; RED PRINT; TOASTS; PORTRAIT;,1899-173,,,1899-02-10,Cornell University Alumni,,,,complete,4,18
5923,22618,,U.S.S. LOUISIANA,DAILY MENU,NAV;,AT SEA,BROADSIDE; 4 X 6;,,,1906-857,,,1906-11-25,U.S.S. Louisiana,,,,complete,2,16
16396,34049,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,26.5x16cm folded; 26.5x32cm open,,The National Fertilizer Association,1914-0752_wotm,,,1914-07-01,[Restaurant name and/or location not given],,,,complete,8,20
4585,20942,,U.S.M.S.,BREAKFAST,NAV;,"ON BOARD ""NEW YORK""",CARD; ILLUS; 3.75X6;,,MARITIME FLAG AT TOP;,1900-5013,,,1900-12-13,U.S.M.S.,,,,complete,2,27
4938,21359,,MINISTERE DE LA GUERRE (MINISTER OF WAR),DINNER FOR OFFICERS OF THE REVIEW OF JULY 14,MIL;,"PARIS, FRANCE",BOOKLET; COL; ILUS; 4.75 X 8.5;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH; MUSIC; ILLUSTRATION OF FRENCH FLAGS;,1907-675,,,1907-07-13,Ministere De La Guerre (Minister Of War),,,,complete,8,13
3869,20214,,HAMBURG-AMERIKA LINIE,[?DINNER? - LUNCH?],COMMERCIAL,"SCHNELLDAMPFER ""DEUTSCHLAND"" COMMODORE ALBERS",CARD; ILLUS; COL; 5X8;,,"GERMAN & ENGLISH; MYTHICAL FIGURE, STEAMSHIP AT TOP; PERHAPS THIS IS A MEAL FOR ANOTHER CLASS;",1901-2398,,,1901-09-23,Hamburg Amerika Linie,,,,complete,2,18
3007,17765,,,,,,,,,,,,1900-07-01,Hotel Velvet,,,,complete,2,78
8388,25705,,HOTEL SAVOY,EASTER SUNDAY DINNER,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; COL; 6X8;,RELIGIOUS HOLIDAY,"ONE OF MANY, MANY DESERTS: ""BASKETS OF FRESH MUSHROOMS;""",1899-287,,,1899-04-02,Hotel Savoy,,,,complete,2,66
4773,21158,,THE ARLINGTON,SUPPER,,,BROADSIDE; 4 3/3 X 7.5,,,1881-035,,,1881-01-01,The Arlington,,,,complete,2,31
14836,32443,Louis Sherry,Louis Sherry,,,,27x30.5cm,,right hand side of menu is printed in French,1918-0049_wotm,,,1918-01-05,Louis Sherry,,Dollars,$,complete,1,114
3090,18364,,,,,,,,,,,,1901-04-27,Cafe St. Denis,,Dollars,$,complete,4,733
15646,33266,Manhattan Club,Manhattan Club,,,,,,,1915-0005,,,1915-01-01,Manhattan Club,,,,complete,1,23
13622,31209,,The Ambassador,,,,28x17.5cm,,menu is ripped in half,1933-0395_wotm,,,1933-07-01,The Ambassador,,Dollars,$,complete,4,313
403,12968,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,S.S. COPTIC,FOLDER; ILLUS; COL;5.5X8.5;,,MENU ITEMS HANDWRITTEN IN LAVENDAR INK ENTERED ON PRINTED FORM; ANCHOR & FLAGS ON COVER; SEABIRDS ON BACK;,1900-2254,,,1900-03-03,Occidental & Oriental Steamship Company,,,,complete,4,34
5161,21674,,QUEBEC STEAMSHIP COMPANY,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S.TRINIDAD,CARD; ILLUS; 5.5 X 8.5;,,"HANDWRITTEN; RED, WHITE AND BLUE FLAG; AD FOR CARRIAGES WITH CHARGES LISTED ON BACK;",1900-2298,,,1900-03-05,Quebec Steamship Company,,,,complete,2,35
11778,29298,,Highlands Inn And Pacific's Edge Restaurant,,,,12x16.5cm folded; 23.5x16.5cm open,,,1994-0002_wotm,,,1954-03-11,Highlands Inn And Pacific's Edge Restaurant,,,,complete,3,5
12801,30346,,Great Northern Railway,,,,25.5x16.5cm folded; 25.5x33cm open,,,1940-0010_wotm,,,1940-01-01,Great Northern Railway,,Dollars,$,complete,4,156
